Author(s),Year,Title,Journal,Mechanisms Identified,Location,Data source,Ecosystem,Taxon,Notes,Other Mechanisms,N
Trogisch et al.,2021,"The significance of tree-tree interactions for forest ecosystem
   functioning",Basic and Applied Ecology,dilution / amplification,NA,literature,forest,plants,,; tree diveristy impacts microclimate,1
Brown & Paxton,2009,The conservation of bees: a global perspective,Apidologie,NA,NA,literature,terrestrial,pollinators,bees,,1
Crenna et al.,2017,"Pollinators in life cycle assessment: towards a framework for impact
   assessment",Journal of Cleaner Production,invasive species,Global,literature,terrestrial,pollinators,,,1
Goulson & Nicholls,2016,"The canary in the coalmine; bee declines as an indicator of
   environmental health",Science Progress,anthropogenic factors,Global,literature,terrestrial,pollinators,bees,,1
Li et al.,2019,"Critical factors limiting pollination success in oil palm: A systematic
   review",Agriculture Ecosystems & Environment,climatic pulse events,Global,literature,tropical forest,pollinators,,weather events,
Potts et al.,2016,Safeguarding pollinators and their values to human well-being,Nature,temporal mismatch,Global,literature,terrestrial,pollinators,,,1
Potts et al.,2010,"Global pollinator declines: trends, impacts and drivers",Trends in Ecology & Evolution,temporal mismatch,Global,literature,terrestrial,pollinators,,,1
Cummings & Guegan,2006,"Food webs and disease: Is pathogen diversity limited by vector
   diversity?",EcoHealth,food web dynamics,Africa,empirical,terrestrial,vectors,ticks *across Africa so multiple ecosystems,,1
Dantas-Torres,2015,"Climate change, biodiversity, ticks and tick-borne diseases: The
   butterfly effect",International Journal for Parasitology-Parasites and Wildlife,dilution / amplification,NA,literature,terrestrial,vectors,ticks,range shifts; trophic cascades; ,0.333
Dantas-Torres,2015,"Climate change, biodiversity, ticks and tick-borne diseases: The
   butterfly effect",International Journal for Parasitology-Parasites and Wildlife,range shifts,NA,literature,terrestrial,vectors,ticks,range shifts; trophic cascades; ,0.333
Dantas-Torres,2015,"Climate change, biodiversity, ticks and tick-borne diseases: The
   butterfly effect",International Journal for Parasitology-Parasites and Wildlife,food web dynamics,NA,literature,terrestrial,vectors,ticks,range shifts; trophic cascades; ,0.333
Ehrmann et al.,2018,"Habitat properties are key drivers of Borrelia burgdorferi (s.l.)
   prevalence in Ixodes ricinus populations of deciduous forest fragments",Parasites & Vectors,dilution / amplification,Europe,empirical,temperate forest,vectors,ticks,,1
Gale et al.,2010,"The feasibility of developing a risk assessment for the impact of
   climate change on the emergence of Crimean-Congo haemorrhagic fever in
   livestock in Europe: a Review",Journal of Applied Microbiology,reservoir population,Europe,theory,in silico,vectors,ticks,,0.5
Gale et al.,2010,"The feasibility of developing a risk assessment for the impact of
   climate change on the emergence of Crimean-Congo haemorrhagic fever in
   livestock in Europe: a Review",Journal of Applied Microbiology,range shifts,Europe,theory,in silico,vectors,ticks,,0.5
Lou et al.,2014,Impact of biodiversity and seasonality on Lyme-pathogen transmission,Theoretical Biology and Medical Modeling,physiology,NA,theory,in silico,vectors,Lyme,,1
Purse et al. ,2017,"How will climate change pathways and mitigation options alter incidence
   of vector-borne diseases? A framework for leishmaniasis in South and
   Meso-America",PLoS One,precipitation,South America,theory,in silico,vectors,leishmaniasis and sand flies,,0.333
Purse et al. ,2017,"How will climate change pathways and mitigation options alter incidence
   of vector-borne diseases? A framework for leishmaniasis in South and
   Meso-America",PLoS One,dilution / amplification,South America,theory,in silico,vectors,leishmaniasis and sand flies,,0.333
Purse et al. ,2017,"How will climate change pathways and mitigation options alter incidence
   of vector-borne diseases? A framework for leishmaniasis in South and
   Meso-America",PLoS One,temperature,South America,theory,in silico,vectors,leishmaniasis and sand flies,,0.333
Rizzoli et al.,2019,"Parasites and wildlife in a changing world: The vector-host- pathogen
   interaction as a learning case",International Journal for Parasitology-Parasites and Wildlife,urbanization / deforestation,Europe,literature,terrestrial,vectors,,,0.5
Rizzoli et al.,2019,"Parasites and wildlife in a changing world: The vector-host- pathogen
   interaction as a learning case",International Journal for Parasitology-Parasites and Wildlife,dilution / amplification,Europe,literature,terrestrial,vectors,,,0.5
Abayomi & Cowan,2014,"The HIV/AIDS epidemic in South Africa: Convergence with tuberculosis,
   socioecological vulnerability, and climate change patterns",SAMJ South African Medical Journal,NA,South Africa,literature,anthropogenic,viruses,HIV and TB,,1
Cooke et al.,2021,Conservation physiology and the COVID-19 pandemic,Conservation Physiology,anthropogenic factors,NA,literature,anthropogenic,viruses,COVID,; GHG emissions; disturbance; invasive species,1
Everard et al.,2020,"The role of ecosystems in mitigation and management of Covid-19 and
   other zoonoses",Environmental Science & Policy,anthropogenic factors,Global,literature,anthropogenic,viruses,,,1
Khalil et al.,2017,"Emerging viral infection in Pakistan: Issues, concerns and future prospects",Health Security,NA,Pakistan,literature,anthropogenic,viruses,,,1
Mojica & Brussard,2014,"Factors affecting virus dynamics and microbial host-virus interactions
   in marine environments",FEMS Microbiology Ecology,physiology,Global,literature,marine,viruses,,; UV; pollution; temperature; salinity,0.25
Mojica & Brussard,2014,"Factors affecting virus dynamics and microbial host-virus interactions
   in marine environments",FEMS Microbiology Ecology,anthropogenic factors,Global,literature,marine,viruses,,; UV; pollution; temperature; salinity,0.25
Mojica & Brussard,2014,"Factors affecting virus dynamics and microbial host-virus interactions
   in marine environments",FEMS Microbiology Ecology,temperature,Global,literature,marine,viruses,,; UV; pollution; temperature; salinity,0.25
Mojica & Brussard,2014,"Factors affecting virus dynamics and microbial host-virus interactions
   in marine environments",FEMS Microbiology Ecology,UV,Global,literature,marine,viruses,,; UV; pollution; temperature; salinity,0.25
Abbass et al. ,2022,"A review of the global climate change impacts, adaptation, and sustainable mitigation measures",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,range shifts,,literature,terrestrial,animals,,,0.25
Abbass et al. ,2022,"A review of the global climate change impacts, adaptation, and sustainable mitigation measures",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,behavior,,literature,terrestrial,animals,,,0.25
Abbass et al. ,2022,"A review of the global climate change impacts, adaptation, and sustainable mitigation measures",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,species decline,,literature,terrestrial,animals,,,0.25
Abbass et al. ,2022,"A review of the global climate change impacts, adaptation, and sustainable mitigation measures",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,vector abundance,,literature,terrestrial,animals,,,0.25
Aguirre,2009,Wild canids as sentinels of ecological health: a conservation medicine perspective,PARASITES & VECTORS,behavior,,literature,terrestrial,animals,,,0.3333333
Aguirre,2009,Wild canids as sentinels of ecological health: a conservation medicine perspective,PARASITES & VECTORS,range shifts,,literature,terrestrial,animals,,,0.3333333
Aguirre,2009,Wild canids as sentinels of ecological health: a conservation medicine perspective,PARASITES & VECTORS,novel disease spread,,literature,terrestrial,animals,,,0.3333333
Catenazzi,2015,State of the World's Amphibians,"ANNUAL REVIEW OF ENVIRONMENT AND RESOURCES, VOL 40",novel disease spread,,literature,freshwater,amphibians,,,0.3333333
Catenazzi,2015,State of the World's Amphibians,"ANNUAL REVIEW OF ENVIRONMENT AND RESOURCES, VOL 40",physiology,,literature,freshwater,amphibians,,,0.3333333
Catenazzi,2015,State of the World's Amphibians,"ANNUAL REVIEW OF ENVIRONMENT AND RESOURCES, VOL 40",behavior,,literature,freshwater,amphibians,,,0.3333333
Cunze et al. ,2022,Ticks on the move-climate change-induced range shifts of three tick species in Europe: current and future habitat suitability for Ixodes ricinus in comparison with Dermacentor reticulatus and Dermacentor marginatus,PARASITOLOGY RESEARCH,range shifts,,empirical,terrestrial,vectors,,,0.3333333
Cunze et al. ,2022,Ticks on the move-climate change-induced range shifts of three tick species in Europe: current and future habitat suitability for Ixodes ricinus in comparison with Dermacentor reticulatus and Dermacentor marginatus,PARASITOLOGY RESEARCH,physiology,,empirical,terrestrial,vectors,,,0.3333333
Cunze et al. ,2022,Ticks on the move-climate change-induced range shifts of three tick species in Europe: current and future habitat suitability for Ixodes ricinus in comparison with Dermacentor reticulatus and Dermacentor marginatus,PARASITOLOGY RESEARCH,behavior,,empirical,terrestrial,vectors,,,0.3333333
Destoumieux-Garzon et al. ,2022,"Getting out of crises: Environmental, social-ecological and evolutionary research is needed to avoid future risks of pandemics",ENVIRONMENT INTERNATIONAL,dilution / amplification,,empirical,terrestrial,animals,,,1
Dixon,2012,"Climate change - impact on crop growth and food production, and plant pathogens",CANADIAN JOURNAL OF PLANT PATHOLOGY,physiology,,empirical,terrestrial,plants,,,0.3333333
Dixon,2012,"Climate change - impact on crop growth and food production, and plant pathogens",CANADIAN JOURNAL OF PLANT PATHOLOGY,species decline,,empirical,terrestrial,plants,,,0.3333333
Dixon,2012,"Climate change - impact on crop growth and food production, and plant pathogens",CANADIAN JOURNAL OF PLANT PATHOLOGY,range shifts,,empirical,terrestrial,plants,,,0.3333333
Liu et al. ,2022,Plant-Soil Mediated Effects of Long-Term Warming on Soil Nematodes of Alpine Meadows on the Qinghai-Tibetan Plateau,BIOLOGY-BASEL,temperature,,empirical,terrestrial,plants,,,1
Liu & He,2022,Warming shifts soil microbial communities and tropical tree seedling mortality,ECOLOGY,temperature,,empirical,terrestrial,plants,,,1
Sanchez et al. ,2022,In the beginning it was zoonosis: One Health to combat this and future pandemics. SESPAS Report 2022,GACETA SANITARIA,anthropogenic factors,,literature,terrestrial,parasites,,,1
Sutherst,1998,Implications of global change and climate variability for vectorborne diseases: generic approaches to impact assessments,INTERNATIONAL JOURNAL FOR PARASITOLOGY,climatic pulse events,,empirical,terrestrial,parasites,,,0.5
Sutherst,1998,Implications of global change and climate variability for vectorborne diseases: generic approaches to impact assessments,INTERNATIONAL JOURNAL FOR PARASITOLOGY,gradual climate change,,empirical,terrestrial,parasites,,,0.5
Toledo-Hernandez et al.,2022,The stingless bees (Hymenoptera: Apidae: Meliponini): a review of the current threats to their survival,APIDOLOGIE,anthropogenic factors,,literature,terrestrial,pollinators,,,0.25
Toledo-Hernandez et al.,2022,The stingless bees (Hymenoptera: Apidae: Meliponini): a review of the current threats to their survival,APIDOLOGIE,species decline,,literature,terrestrial,pollinators,,,0.25
Toledo-Hernandez et al.,2022,The stingless bees (Hymenoptera: Apidae: Meliponini): a review of the current threats to their survival,APIDOLOGIE,physiology,,literature,terrestrial,pollinators,,,0.25
Toledo-Hernandez et al.,2022,The stingless bees (Hymenoptera: Apidae: Meliponini): a review of the current threats to their survival,APIDOLOGIE,behavior,,literature,terrestrial,pollinators,,,0.25
Zhang et al.,2022,Biological invasions facilitate zoonotic disease emergences,NATURE COMMUNICATIONS,anthropogenic factors,,empirical,terrestrial,animals,,,0.3333333
Zhang et al.,2022,Biological invasions facilitate zoonotic disease emergences,NATURE COMMUNICATIONS,gradual climate change,,empirical,terrestrial,animals,,,0.3333333
Zhang et al.,2022,Biological invasions facilitate zoonotic disease emergences,NATURE COMMUNICATIONS,physiology,,empirical,terrestrial,animals,,,0.3333333
